0,Arsenal
1,Aston Villa
2,Brentford
3,Brighton
4,Burnley
5,Chelsea
6,Crystal Palace
7,Everton
8,Leicester
9,Leeds
10,Liverpool
11,Man City
12,Man Utd
13,Newcastle
14,Norwich
15,Southampton
16,Spurs
17,Watford
18,West Ham
19,Wolves
