Llorente,
Raphinha,
Jenkins,
Huggins,
Cresswell,
Gelhardt,
Berardi,
Greenwood,
Summerville,
Drameh,
Milner,49.0
Tsimikas,
Wijnaldum,107.0
Henderson,116.0
Adrián,27.0
Matip,39.0
Shaqiri,15.0
Chamberlain,76.0
Firmino,155.0
van Dijk,178.0
Mané,221.0
Alisson,122.0
Fabinho,77.0
Salah,233.0
Robertson,181.0
Origi,65.0
Harry Wilson,91.0
Alexander-Arnold,210.0
Gomez,93.0
Keita,52.0
Jones,13.0
Neco Williams,14.0
Elliott,2.0
Jota,105.0
Thiago,
Kelleher,0.0
Phillips,0.0
Rhys Williams,
Clarkson,
Cain,
Kabak,
Davies,
Hughes,
Ojrzynski,
Woodburn,
Koumetio,
Fernandinho,55.0
Bravo,11.0
Agüero,132.0
Otamendi,82.0
Walker,114.0
Gündogan,65.0
De Bruyne,251.0
Stones,34.0
Mendy,74.0
Mahrez,175.0
Sterling,204.0
Cancelo,45.0
Ederson,133.0
Aké,79.0
Laporte,63.0
Bernardo Silva,116.0
Jesus,146.0
Zinchenko,49.0
Foden,69.0
Doyle,1.0
Rodrigo,92.0
Torres,
Garcia,38.0
Bernabé,
Steffen,
Delap,
Palmer,0.0
Dias,
Trafford,
Carson,0.0
Nmecha,
Mbete,
Harwood-Bellis,0.0
Gomes,
Romero,0.0
Mata,38.0
de Gea,143.0
Smalling,0.0
Ighalo,11.0
Rojo,3.0
Matic,55.0
Pogba,51.0
Jones,2.0
Maguire,123.0
Fred,50.0
Shaw,67.0
Fernandes,117.0
Martial,200.0
Pereira,60.0
Henderson,160.0
Rashford,177.0
Tuanzebe,7.0
Lindelöf,116.0
McTominay,74.0
Bailly,9.0
James,95.0
Fosu-Mensah,7.0
Wan-Bissaka,127.0
Dalot,4.0
Greenwood,103.0
Chong,3.0
Garner,1.0
Williams,51.0
Mengi,
van de Beek,
Telles,
Cavani,
Pellistri,
Grant,0.0
Diallo,
Shoretire,
Bishop,
Elanga,
Mejbri,
Fish,
Willock,41.0
Carroll,34.0
Shelvey,105.0
