player name,id,team,position,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37
Arrizabalaga,112,Chelsea,Goalkeeper,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,0.0,0.0,2.0,,0.0
Kanté,113,Chelsea,Midfielder,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,1.0,3.0,,0.0,1.0,0.0,2.0,1.0,2.0,,1.0
Ziyech,114,Chelsea,Midfielder,0.0,0.0,0.0,0.0,1.0,1.0,14.0,11.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,,1.0,1.0,3.0,1.0,3.0,10.0,,0.0
Christensen,116,Chelsea,Defender,2.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,1.0,2.0,6.0,0.0,17.0,6.0,7.0,,-1.0,0.0,7.0,5.0,8.0,1.0,,0.0
Werner,117,Chelsea,Forward,5.0,2.0,2.0,2.0,16.0,2.0,7.0,7.0,5.0,2.0,5.0,2.0,2.0,5.0,1.0,1.0,2.0,,2.0,0.0,2.0,5.0,10.0,6.0,2.0,3.0,2.0,1.0,,5.0,0.0,1.0,5.0,5.0,5.0,,5.0
Abraham,118,Chelsea,Forward,0.0,1.0,6.0,5.0,1.0,1.0,5.0,8.0,9.0,2.0,1.0,1.0,1.0,13.0,6.0,0.0,0.0,,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0
Pulisic,119,Chelsea,Midfielder,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,6.0,2.0,2.0,1.0,,5.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,,6.0,15.0,3.0,3.0,0.0,4.0,,2.0
Mount,120,Chelsea,Midfielder,2.0,2.0,12.0,0.0,2.0,1.0,6.0,2.0,6.0,2.0,8.0,2.0,1.0,6.0,2.0,2.0,2.0,,13.0,1.0,3.0,3.0,8.0,3.0,10.0,14.0,1.0,3.0,,6.0,6.0,3.0,3.0,6.0,2.0,,2.0
Tomori,121,Chelsea,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Hudson-Odoi,122,Chelsea,Midfielder,1.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,,3.0,3.0,7.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,,0.0,5.0,1.0,0.0,0.0,2.0,,0.0
James,123,Chelsea,Defender,14.0,1.0,1.0,0.0,1.0,8.0,6.0,2.0,8.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,8.0,2.0,1.0,3.0,7.0,8.0,1.0,,0.0,4.0,7.0,1.0,6.0,4.0,,2.0
Gilmour,124,Chelsea,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,0.0
Chilwell,232,Chelsea,Defender,0.0,0.0,0.0,18.0,3.0,6.0,6.0,8.0,7.0,8.0,2.0,2.0,5.0,1.0,1.0,5.0,1.0,,7.0,5.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,6.0,,0.0,2.0,0.0,12.0,6.0,2.0,,5.0
Thiago Silva,490,Chelsea,Defender,0.0,0.0,1.0,6.0,0.0,7.0,6.0,8.0,0.0,6.0,2.0,1.0,1.0,14.0,0.0,0.0,1.0,,7.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-4.0,0.0,0.0,7.0,7.0,2.0,,2.0
Havertz,500,Chelsea,Midfielder,2.0,1.0,5.0,6.0,7.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,,1.0,10.0,3.0,0.0,16.0,2.0,,0.0
Mendy,548,Chelsea,Goalkeeper,,,0.0,6.0,0.0,7.0,6.0,2.0,6.0,6.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,,8.0,6.0,6.0,6.0,3.0,0.0,2.0,16.0,6.0,9.0,,0.0,2.0,0.0,5.0,7.0,11.0,,1.0
Ziger,593,Chelsea,Goalkeeper,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Anjorin,605,Chelsea,Midfielder,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Livramento,698,Chelsea,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
Batshuayi,108,Crystal Palace,Forward,0.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,6.0,0.0,,0.0,0.0,1.0,0.0,0.0
Cahill,125,Crystal Palace,Defender,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,16.0,-1.0,5.0,,2.0,0.0,,0.0,0.0,11.0,1.0,1.0
Hennessey,126,Crystal Palace,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Sakho,127,Crystal Palace,Defender,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Guaita,128,Crystal Palace,Goalkeeper,10.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,-1.0,3.0,9.0,7.0,10.0,0.0,2.0,8.0,3.0,2.0,1.0,3.0,16.0,0.0,8.0,,4.0,1.0,,2.0,1.0,8.0,0.0,1.0
Tomkins,129,Crystal Palace,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0
McArthur,130,Crystal Palace,Midfielder,3.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,9.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
